city,lat,lng,country,code,population
Topeka,39.0347,-95.6955,United States,USA,149220
New Bedford,41.6697,-70.9428,United States,USA,149390
Tirgu Mures,46.5582,24.5578,Romania,ROU,149433
Carora,10.19,-70.08,Venezuela,VEN,149711
Khiwa,41.3911,60.3557,Uzbekistan,UZB,149751
Cao Lanh,10.467,105.636,Vietnam,VNM,149837
Pattani,6.864,101.25,Thailand,THA,150000
Miaoli,24.57,120.82,Taiwan,TWN,150000
Yilan,24.75,121.75,Taiwan,TWN,150000
Tororo,0.7104,34.17,Uganda,UGA,150000
M'sila,35.7,4.545,Algeria,DZA,150000
Keren,15.6804,38.45,Eritrea,ERI,150000
Vryheid,-27.76,30.79,South Africa,ZAF,150012
Urgentch,41.56,60.64,Uzbekistan,UZB,150110
Chillan,-36.6,-72.106,Chile,CHL,150396
Kitale,1.0305,34.9899,Kenya,KEN,150495
Uzhgorod,48.63,22.25,Ukraine,UKR,150832
Guarapuava,-25.38,-51.48,Brazil,BRA,150850
Benguela,-12.5783,13.4072,Angola,AGO,151226
Suhar,24.362,56.7344,Oman,OMN,151349
Balti,47.7591,27.9053,Moldova,MDA,151355
Maragheh,37.4204,46.22,Iran,IRN,151385
Nazareth,32.704,35.2955,Israel,ISR,151459
Dundee,56.4704,-3,United Kingdom,GBR,151592
Escondido,33.1349,-117.0721,United States,USA,151613
Bintulu,3.1664,113.036,Malaysia,MYS,151617
Guanare,9.05,-69.75,Venezuela,VEN,151642
Abbotsford,49.0504,-122.3,Canada,CAN,151683
Kansas City,39.1234,-94.7443,United States,USA,151709
El Manaqil,14.2504,32.98,Sudan,SDN,151827
Luanshya,-13.1333,28.4,Zambia,ZMB,151993
Hollywood,26.0293,-80.1679,United States,USA,151998
Frederick,39.4334,-77.4154,United States,USA,152047
Samalut,28.3004,30.71,Egypt,EGY,152097
Deyang,31.1333,104.4,China,CHN,152194
Limoges,45.83,1.25,France,FRA,152199
Mudon,16.2618,97.7215,Burma,MMR,152300
Novokuybishevsk,53.12,49.9199,Russia,RUS,152334
Wenshan,23.3724,104.2497,China,CHN,152388
Binghamton,42.1014,-75.9092,United States,USA,152392
Silchar,24.7904,92.79,India,IND,152393
Pomona,34.0585,-117.7625,United States,USA,152494
Zabid,14.1951,43.3155,Yemen,YEM,152504
San Francisco de Macoris,19.3,-70.25,Dominican Republic,DOM,152538
Nusaybin,37.075,41.2184,Turkey,TUR,152668
Sunnyvale,37.3846,-122.0261,United States,USA,152771
Usak,38.6804,29.42,Turkey,TUR,152862
Ilam,33.6304,46.43,Iran,IRN,152894
Rondonopolis,-16.4695,-54.64,Brazil,BRA,152912
Dingzhou,38.5004,115,China,CHN,152934
Faizabad,26.7504,82.17,India,IND,153047
Tuscaloosa,33.2349,-87.5268,United States,USA,153060
